Acc@1,Acc@5
17.122,37.766
27.452,52.118
33.096,59.540
35.042,61.510
36.210,62.950
37.390,64.058
39.640,66.750
38.064,64.614
39.796,66.818
42.436,68.484
41.210,67.428
38.264,65.030
41.234,68.174
43.320,70.026
43.654,70.434
40.776,67.274
41.302,67.448
44.314,70.856
42.858,69.136
41.642,68.412
42.914,69.300
40.344,67.154
43.154,69.562
43.144,69.778
45.262,71.680
43.760,70.572
45.112,71.524
42.868,69.400
40.464,66.780
44.958,71.552
59.948,82.872
60.720,83.366
60.892,83.494
61.242,83.840
61.252,83.926
61.118,83.966
60.976,83.666
60.564,83.596
61.314,83.884
61.130,83.710
61.180,83.848
61.064,83.750
60.534,83.656
60.570,83.312
59.944,82.874
60.714,83.662
60.632,83.382
60.236,83.242
60.580,83.348
60.440,83.182
60.452,83.594
60.644,83.442
60.656,83.496
60.360,83.310
60.976,83.498
59.928,83.030
60.812,83.848
60.838,83.682
60.846,83.486
61.394,84.006
66.068,86.836
66.440,87.160
66.468,87.272
66.590,87.270
66.706,87.254
66.738,87.334
66.962,87.374
67.056,87.460
66.966,87.534
67.002,87.556
67.062,87.602
67.048,87.672
66.958,87.572
67.074,87.530
67.122,87.736
67.112,87.602
67.204,87.708
67.408,87.636
67.312,87.700
67.266,87.704
67.216,87.736
67.432,87.728
67.294,87.752
67.368,87.734
67.344,87.718
67.246,87.658
67.538,87.642
67.444,87.788
67.152,87.676
67.460,87.856
