Acc@1,Acc@5
16.414,36.222
26.654,51.548
31.326,57.214
33.692,59.732
35.562,61.980
38.814,65.238
38.928,65.676
39.084,65.386
41.038,67.568
41.268,67.764
42.194,68.684
39.080,65.328
43.404,69.790
42.082,68.402
40.776,67.480
42.836,69.392
42.782,69.538
43.422,69.984
43.626,69.922
44.224,70.746
42.808,69.456
43.480,69.402
43.008,69.478
45.340,71.654
41.028,67.202
43.998,70.094
45.396,71.814
43.314,69.596
43.170,69.600
42.548,69.414
59.746,82.742
60.358,83.162
61.272,83.754
61.382,84.056
60.984,83.860
61.284,83.968
61.222,83.812
60.778,83.592
61.032,83.604
61.106,83.816
61.272,83.868
61.204,83.800
61.070,83.732
60.524,83.398
60.932,83.870
61.476,84.064
60.528,83.628
61.112,83.646
60.614,83.396
60.788,83.560
60.744,83.670
60.690,83.624
60.648,83.510
61.146,83.998
61.106,84.048
60.978,83.730
60.794,83.454
60.960,83.556
60.890,83.428
60.654,83.552
66.170,86.924
66.302,87.120
66.518,87.244
66.622,87.288
66.622,87.510
66.808,87.460
66.994,87.614
66.986,87.470
67.148,87.530
67.078,87.750
67.124,87.610
67.178,87.688
67.264,87.670
67.312,87.702
67.158,87.736
67.288,87.630
67.258,87.702
67.300,87.840
67.200,87.854
67.264,87.858
67.242,87.770
67.382,87.814
67.356,87.866
67.484,87.716
67.408,87.848
67.392,87.706
67.448,87.836
67.412,87.740
67.594,87.848
67.316,87.860
