Acc@1,Acc@5
18.546,40.522
26.202,50.922
32.838,59.184
34.774,61.148
35.510,61.922
33.490,59.608
35.376,62.154
39.322,66.198
40.158,66.542
39.800,66.314
40.650,67.064
37.354,64.014
38.888,65.686
41.808,68.534
40.842,67.854
38.554,64.776
42.266,69.102
42.656,68.828
41.528,68.134
42.814,69.550
40.346,66.782
41.824,68.208
40.978,67.640
41.424,68.036
42.120,68.912
38.722,65.334
41.598,68.234
40.538,67.502
42.138,68.968
43.050,69.880
60.240,83.146
61.024,83.610
61.524,83.956
61.474,84.034
61.732,84.226
61.972,84.260
61.938,84.416
61.640,83.958
61.426,83.848
61.102,83.788
61.388,83.866
61.516,84.022
60.522,83.386
61.032,83.730
60.792,83.668
61.254,83.782
61.730,84.170
61.162,83.962
61.304,83.956
60.980,83.678
61.400,83.930
60.680,83.438
61.344,83.710
61.078,83.872
60.934,83.726
61.052,83.784
61.154,83.748
60.742,83.342
61.356,83.962
61.310,83.938
66.812,87.244
67.078,87.408
67.154,87.602
67.408,87.698
67.414,87.742
67.520,87.716
67.474,87.720
67.714,87.902
67.502,87.884
67.772,88.014
67.662,87.910
67.832,88.016
67.850,88.054
67.952,88.020
67.810,88.032
68.134,88.006
67.950,88.070
67.844,88.006
67.890,88.014
67.732,87.920
67.978,87.992
68.040,88.046
68.228,88.120
68.060,88.112
68.140,88.104
68.074,88.092
68.140,88.078
68.172,88.072
68.164,88.082
68.058,88.056
