Acc@1,Acc@5
20.820,43.526
33.492,59.944
35.310,61.364
41.688,68.308
44.282,70.844
45.422,71.942
45.136,71.348
45.126,71.416
45.804,72.338
47.262,73.078
44.838,71.490
46.762,72.500
46.582,72.786
47.302,73.816
49.448,75.502
48.390,74.762
47.278,73.374
48.708,74.610
49.328,75.658
49.174,74.760
47.784,73.486
48.662,74.646
49.026,75.234
50.028,75.820
49.360,75.436
50.264,76.334
50.212,76.038
50.216,75.970
49.730,75.970
50.234,76.202
63.082,85.012
63.832,85.502
64.164,85.944
64.328,85.978
64.872,86.124
64.638,86.064
64.146,85.812
64.258,86.066
64.124,85.946
64.338,85.846
64.258,85.930
63.986,85.690
63.836,85.698
64.256,85.888
64.126,85.840
63.882,85.686
64.064,85.930
63.530,85.550
62.962,85.162
63.678,85.506
63.718,85.604
63.642,85.476
63.080,85.296
63.932,85.888
61.910,84.306
63.872,85.864
64.300,85.924
63.714,85.656
64.238,86.066
64.058,86.048
67.992,88.214
68.414,88.410
68.596,88.520
68.690,88.588
68.692,88.620
68.854,88.668
68.736,88.588
68.866,88.790
68.848,88.662
68.886,88.712
68.990,88.784
69.034,88.738
69.016,88.812
69.134,88.706
69.152,88.770
69.162,88.736
69.112,88.788
69.080,88.900
69.264,88.914
69.344,88.966
69.212,88.970
69.206,89.014
69.176,88.910
69.138,88.928
69.344,88.870
69.120,88.818
69.346,88.854
69.280,88.948
69.262,88.942
69.276,88.934
